country,iso2c,iso3c,year,status,lastupdated,gdp,gdpPercap,region,capital,longitude,latitude,income,lending
Brazil,BR,BRA,1960,,2022-12-22,188464088773.788,2578.43212501018,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1961,,2022-12-22,204672000408.334,2717.00489409658,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1962,,2022-12-22,218180352435.284,2811.63081353841,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1963,,2022-12-22,219489434549.896,2746.5170522797,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1964,,2022-12-22,226952075324.592,2758.86660650734,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1965,,2022-12-22,232398925132.383,2746.26134354914,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1966,,2022-12-22,247969653116.252,2850.90477368332,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1967,,2022-12-22,258384378547.135,2892.6877226814,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1968,,2022-12-22,283706047644.754,3095.22563217195,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1969,,2022-12-22,310658122171.006,3304.86024488566,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1970,,2022-12-22,342966566876.79,3558.85661236761,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1971,,2022-12-22,381868997020.349,3866.39008869453,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1972,,2022-12-22,427465484612.615,4224.20123996804,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1973,,2022-12-22,487176948862.304,4699.44533949141,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1974,,2022-12-22,526901058557.905,4962.92833317853,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1975,,2022-12-22,554124187273.806,5097.71446136945,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1976,,2022-12-22,610961422946.065,5489.98666492448,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1977,,2022-12-22,641108263934.078,5626.72376145855,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1978,,2022-12-22,672970688728.912,5768.43315150731,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1979,,2022-12-22,718460547037.255,6014.87458479707,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1980,,2022-12-22,784558917364.681,6415.64552672743,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1981,,2022-12-22,751215163376.685,6001.65220565602,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1982,,2022-12-22,757450249232.708,5914.5721887194,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1983,,2022-12-22,735256956930.19,5613.61826802745,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
Brazil,BR,BRA,1984,,2022-12-22,774960832604.42,5788.09412965665,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
